tweet,stance,f1,f2,f3,m1,m2,m3
hillary clinton hillary for nh hope to see her in not cool soon,FAVOR,h!lläry cl!nt0n h!lläry f0r nh h0pe to see her in not co0l s00n,hillary diane clinton for us hope to see her in not cool soon,hillary clinton hillary #for nh #hope to #see her #in not #cool soon,F,M,A
adam smith usa because clearly hillary clinton is a champion for us all,FAVOR,adam smith us because clearly hillary diane clinton is a victor for us all,adam smith us a because clearly hill ary clint on is a cham pion for us all,adam #smith usa because clearly hillary clinton #is #a champion #for us all,M,O,A
"it 's time that we move from good words to good works , from sound bites to sound solutions hillary clinton # ready for hillary #",FAVOR,"it 's time that we move from good words to g ood wo rks , from sound bites to so und solutions hill ary clint on # ready for hillary #","it 's time that we move from good words to good works , from sound bites to sound solutions hillary diane clinton #ready for hillary#","it 's time that we move from good words to good works , from sound bites to sound solutions hillary clinton # ready for hillary #usa #decisition #time #election #future",O,M,T
jeb bush says americans should work longer hours i 'll do just that to elect hillary clinton !,FAVOR,jeb bsuh says ameircnas should wrok longer hours i 'll do just that to elcet hilarly clitnon !,john ellis bush says citizen of the us should work longer hours i'll do just that to elect HR clinton,jeb b ush says a mericans should work longer hours i 'll do just that to e lect hill ary clint on !,G,M,O
proud of hillary clinton for supporting stronger gun control measures # ready for hillary #,FAVOR,pruod of hilarly cltinon for soppurtnig stnorger gun control measures # ready for hillary #,proud of H.clinton for supporting stronger gun control measures # ready for hillary #,p roud of hill ary clin t on for sup porting st ronger g un control measures # ready for hillary #,G,M,O
the white male vote is solidly gop the black vote is solidly them that leaves white females and brown people # feel the bern #,AGAINST,the wihte male vtoe is solidly gop the blcak vote is solidly them that leaves white feamles and brwon people # feel the bern #,the wh!te male v0te is solidly gop the bl@ck v0te is solidly them that leaves white females and br0wn people # feel the bern #,the white men's support is solidly gop the black support is solidly them that leaves white women and brown people # feel the bern #,G,F,S
"breaking 911 probably she made a promise to support gun rights to one citizen , while promising to ban guns to the other",AGAINST,"bræking 911 probably she made a pr0mise to supp0rt gun r!ghts to 0ne c!t!zen , while pr0mis!ng to bän guns to the 0ther","barkeing 911 probably she made a primose to support gun rights to one ctizein , while primosing to ban guns to the other","b reaking 911 pro bably she made a promise to su pport g un rights to one cit izen , while pro mising to b an guns to the other",F,G,O
hillary clinton is a devious deceitful career politician she is the richard nixon of our time,AGAINST,h!lläry cl!nton is a dev!0us dece!tful cäreer p0l!t!c!än she is the r!chärd n!x0n of 0ur t!me,hillary clinton is a wolf in sheep's clothing career politician she is the richard nixon of our time,hillary clinton is not a reliable honest career politician she is the richard nixon of our time,F,C,N
political math bobo from texas does n't matter nobody cares if the clinton make mistakes as long as the checks keep coming,AGAINST,p0l!t!cal math b0b0 fr0m texäs d0es n't mätter n0b0dy cares if the cl!nt0n mäke m!stäkes äs l0ng as the checks keep c0m!ng,polictial math bobo from texas does n't matter nobody cares if the citnoln make mistakes as long as the checks keep coming,political math bobo from texas does not give a flying fudge if the clinton make mistakes as long as the checks keep coming,F,G,C
"success hillary clinton said she 's receiving a constant barrage of attacks from the right great job , guys keep it up !",AGAINST,success h!lläry cl!nt0n säid she 's rece!ving a c0nstant bärrage of ättacks from the r!ght greät j0b guys keep !t up,"success HC said she 's receiving a constant barrage of attacks from the right great job , guys keep it up !",success hillary clinton said she 's receiving a constant barrage of attacks from the right great job,F,M,V
"wooden threat incessant pat rio bc williams 92 that was fun , but it wont be if we have another fake # potus # # why im not voting for hillary #",AGAINST,"incessant pat rio bc williams 92 that was fun , but it wont be if we have another fake # potus # # why im not voting for hillary #","woo den threat inces sant pat rio bc will i ams 92 that was f un , but it wo nt be if we have an other fake # potus # # why im not voting for hillary #","wodoen thraet incassent pat rio bc wililams 92 that was fun , but it wnot be if we have antoher fkae # potus # # why im not voting for hillary #",V,O,G
the ropes might keep people back now hillary but you will answer to americans come debate time you coward # t cot # # red nation rising #,AGAINST,the ropes might keep people back now hillary but americans come debate time you coward # t cot # # red nation rising #,the ropes might keep #people back now hillary but you will #answer to #americans come debate #time #you coward # t cot # # red nation rising #,the ropes might keep people back now hillary but you will answer to americans come debate time you coward,V,A,R
what are we believing in ? believe in victory go for # victory 2016 #,AGAINST,what are we believing in ? # victory 2016 #,what are we believing in ? believe in victory go for # victory 2016 # #today #monday #hello,what are we believing in ? trust in win go for # victory 2016 #,V,T,S
hillary clinton made me proud today ! nothing like reinforcing what i already knew !,FAVOR,hillary clinton made me proud 2day ! nothing like rein4cing what i already knew !,diane hillary clinton made me proud today ! nothing like reinforcing what i already knew !,hillary clinton made #me #proud #today ! #nothing #like reinforcing what i already knew !,F,M,A
imagine joe biden runs for potus without a doubt a strong popularly likable candidate against the clinton,AGAINST,imagine joe biden runs 4 potus without a doubt a strong popularly likable candidate against the clinton,imigane joe biedn runs for potus without a duobt a strong pupolarly liakble candadite against the clniton,imagine joe biden #runs #for potus without a #doubt a strong #popularly likable candidate against the clinton,F,G,A
"# democrats # and # obama # reduce our army by 40 , 000 meanwhile has increased irs to 100 , 000 # hillary clinton # # hillary #",AGAINST,"# democrats # and # obama # reduce our army by 40 , 000 meanwhile has increased irs to 100 , 000","# democrats # and # obama # reduce #our #army #by 40 , 000 #meanwhile has increased irs to 100 , 000 # hillary clinton # # hillary #","# democrats # and # obama # reduceour armyby 40 , 000 meanwhilehas increasedirs to 100 , 000 # hillary clinton # # hillary #",R,A,O
"i stand with hillary clinton i know she is for women , poor , children , middle class and gun control",FAVOR,"i stand with hillary clin2n i know she is 4 women , poor , children , middle class and gun control","#i stand with hillary clinton i know she is for women , poor , #children , middle class and gun #control","i stand by hillary clinton side i know she is for women , indigent, children , middle class and gun control",F,A,S
"hillary clinton blames her lack of trust among the populace on gop , forgetting that she 's a lying , conniving , murderous , cheat",AGAINST,"hillary clin2n blames her lack of trust among the populace on gop , 4getting that she 's a lying , conniving , murderous , cheat","hill ary clin ton b lames her lack of trust among the pop ulace on gop , for getting that she 's a lying , conn iving , murderous , cheat","hillary clinton blames her lack of trust among the populace on gop , forgetting that she 's a mendacity, overlooking, murderous , trick",F,O,S
i wish # olivia pope # could run hillary clinton 's campaign # scandal # # liv is real #,AGAINST,i wish # olivia pope # could run hillary clinton 's campaign,i wish # olivia pope # co uld run hill ar y cli n ton 's campaign # scandal # # liv is real #,i wish # olivia pope # could run h!ll@ry cl!nt0n 's camp@ign # scandal # # liv is real #,R,O,F